,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
895,Products Data Analyst II,$90K-$157K (Glassdoor est.),Job Description,3.3,"TriNet
3.3","Dublin, CA","Dublin, CA",1001 to 5000 employees,1988,Company - Public,Consulting,Business Services,$2 to $5 billion (USD),"Paychex, Insperity, ADP"
896,Data Architect / Data Modeler,$63K-$110K (Glassdoor est.),Job Description,4.3,"Medidata Solutions
4.3","New York, NY","New York, NY",1001 to 5000 employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),Oracle
897,Analytics Manager - Data Mart,$42K-$86K (Glassdoor est.),Job Description,3.5,"Central California Alliance for Health
3.5","Scotts Valley, CA","Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1
898,Lead Data Analyst,$32K-$62K (Glassdoor est.),Job Description,3.9,"Signpost
3.9","New York, NY","New York, NY",201 to 500 employees,2010,Company - Private,Internet,Information Technology,$10 to $25 million (USD),-1
899,Data Science Engineer - Mobile,$116K-$208K (Glassdoor est.),Job Description,4,"Adobe
4.0","San Jose, CA","San Jose, CA",10000+ employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),"Apple, Microsoft"
900,Senior Data Scientist Oncology,$107K-$173K (Glassdoor est.),Job Description,3.9,"AstraZeneca
3.9","Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
901,Data Scientist,$65K-$113K (Glassdoor est.),Job Description,3.4,"DatamanUSA, LLC
3.4","Olympia, WA","Centennial, CO",51 to 200 employees,-1,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1
902,Sr. Data Engineer - Contract-to-Hire (Java),$69K-$127K (Glassdoor est.),Job Description,3,"Pilot Flying J Travel Centers LLC
3.0","Knoxville, TN","Knoxville, TN",10000+ employees,1958,Company - Private,Gas Stations,Retail,$10+ billion (USD),"TravelCenters of America, Love's Travel Stops & Country Stores, Wawa"
903,Scientist - Analytical Development - Pharmaceutics,-1,Job Description,2.3,"UPM Pharmaceutical Inc
2.3","Bristol, TN","Bristol, TN",51 to 200 employees,-1,Contract,-1,-1,Unknown / Non-Applicable,-1
904,Senior Data Scientist - R&D Oncology,$102K-$172K (Glassdoor est.),Job Description,3.9,"AstraZeneca
3.9","New York, NY","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
905,Data Scientist,-1,Job Description,5,"HireResources a Tailored Solutions Company (WO)
5.0","Richmond, VA","Monroe, CT",Unknown,2002,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
906,Data Scientist,-1,Job Description,5,"Jobot
5.0","San Francisco, CA","Irvine, CA",51 to 200 employees,2018,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1
907,Data Engineer,$74K-$124K (Glassdoor est.),Job Description,4,"Pinnacol Assurance
4.0","Denver, CO","Denver, CO",501 to 1000 employees,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1
908,Data Scientist,-1,Job Description,3.6,"Creative Circle, LLC
3.6","Houston, TX","Los Angeles, CA",201 to 500 employees,2002,Company - Public,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,"Aquent, 24 Seven Talent"
909,Food Scientist - Developer,$40K-$68K (Glassdoor est.),Job Description,3.3,"Palermo's Pizza
3.3","Milwaukee, WI","Milwaukee, WI",501 to 1000 employees,1964,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
910,Senior Data Engineer,$76K-$142K (Glassdoor est.),Job Description,3.2,"Equian LLC
3.2","Franklin, TN","Indianapolis, IN",1001 to 5000 employees,2004,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
911,Data Engineer,$76K-$142K (Glassdoor est.),Job Description,3.4,"MetroStar Systems
3.4","Rockville, MD","Reston, VA",201 to 500 employees,1999,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1
912,Senior Data Scientist,$108K-$171K (Glassdoor est.),Job Description,4.4,"MathWorks
4.4","Natick, MA","Natick, MA",1001 to 5000 employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),-1
913,"Director II, Data Science - GRM Actuarial",$202K-$306K (Glassdoor est.),Job Description,3.3,"Liberty Mutual Insurance
3.3","Chicago, IL","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm"
914,Machine Learning Engineer,$91K-$159K (Glassdoor est.),Job Description,3.2,"Information Builders
3.2","New York, NY","New York, NY",1001 to 5000 employees,1975,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Qlik, Tableau Software, Informatica"
915,Data Engineer,-1,Job Description,4.1,"NJF Global Holdings
4.1","New York, NY","London, United Kingdom",51 to 200 employees,2003,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1
916,"Sr Expert Data Science, Advanced Visual Analytics (Associate level)",$80K-$133K (Glassdoor est.),Job Description,3.8,"Novartis
3.8","Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
917,Clinical Data Manager,-1,Job Description,5,"Alector
5.0","South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
918,Data Scientist,-1,Job Description,4.2,"GTN Technical Staffing
4.2","Tempe, AZ","Dallas, TX",201 to 500 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),"MATRIX Resources, The Insource Group, TEKsystems"
919,MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,$21-$34 Per Hour(Glassdoor est.),Job Description,3.6,"Beebe Healthcare
3.6","Millville, DE","Lewes, DE",1001 to 5000 employees,1935,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
920,"Scientist, Molecular/Cellular Biologist",$49K-$97K (Glassdoor est.),Job Description,2.9,"Audentes Therapeutics
2.9","South San Francisco, CA","San Francisco, CA",201 to 500 employees,2012,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"BioMarin Pharmaceutical, Sangamo Therapeutics, bluebird bio"
921,Staff Scientist-Downstream Process Development,$49K-$113K (Glassdoor est.),Job Description,2.7,"Advanced BioScience Laboratories
2.7","Rockville, MD","Rockville, MD",201 to 500 employees,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),-1
922,Data Scientist,-1,Job Description,4.7,"Steel Point Solutions, LLC
4.7","Alexandria, VA","Calverton, MD",1 to 50 employees,2013,Other Organization,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
923,Data Engineer 5 - Contract,-1,Job Description,4.2,"The Church of Jesus Christ of Latter-day Saints
4.2","Riverton, UT","Salt Lake City, UT",10000+ employees,-1,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,-1
924,Data Scientist,$96K-$161K (Glassdoor est.),Job Description,3.2,"Numeric, LLC
3.2","Philadelphia, PA","Chadds Ford, PA",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1
925,Data Scientists,-1,Job Description,3.3,"Miracle Software Systems
3.3",Michigan,"Novi, MI",51 to 200 employees,1994,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"CSC, IBM"
926,Scientist - Analytical Services,$65K-$134K (Glassdoor est.),Job Description,3.1,"Reynolds American
3.1","Winston-Salem, NC","Winston-Salem, NC",5001 to 10000 employees,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
927,"Head Data Scientist â€?Image Analytics lead, Novartis AI Innovation Lab",-1,Job Description,3.8,"Novartis
3.8","Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
928,"Associate Scientist / Sr. Associate Scientist, Antibody Discovery",$59K-$125K (Glassdoor est.),Job Description,4,"23andMe
4.0","South San Francisco, CA","Sunnyvale, CA",501 to 1000 employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Ancestry, Verily Life Sciences, Abbott Laboratories"
929,Associate Data Analyst- Graduate Development Program,$32K-$59K (Glassdoor est.),Job Description,3.3,"National Interstate
3.3","Richfield, OH","Richfield, OH",501 to 1000 employees,1989,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1
930,Sr. Data Engineer,$87K-$158K (Glassdoor est.),Job Description,4.5,"Moser Consulting
4.5","Indianapolis, IN","Indianapolis, IN",51 to 200 employees,1996,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1
931,Clinical Data Analyst,$27K-$48K (Glassdoor est.),Job Description,3,"Greenway Health
3.0","Tampa, FL","Tampa, FL",1001 to 5000 employees,1977,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"eClinicalWorks, NextGen Healthcare, athenahealth"
932,IT Associate Data Analyst,$39K-$69K (Glassdoor est.),Job Description,3.7,"The Hanover Insurance Group
3.7","Worcester, MA","Worcester, MA",5001 to 10000 employees,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1
933,Business Data Analyst,$36K-$71K (Glassdoor est.),Job Description,3.8,"Fareportal
3.8","New York, NY","New York, NY",1001 to 5000 employees,2002,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD),"Expedia Group, Orbitz Worldwide, Priceline.com"
934,Senior Insurance Data Scientist,$107K-$173K (Glassdoor est.),Job Description,3.9,"TransUnion
3.9","Chicago, IL","Chicago, IL",5001 to 10000 employees,1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),-1
935,Senior Data Science Systems Engineer,$56K-$99K (Glassdoor est.),Job Description,3.2,"MITRE
3.2","Hampton, VA","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC"
936,ENVIRONMENTAL ENGINEER/SCIENTIST,Employer Provided Salary:$25-$28 Per Hour,Job Description,3.3,"Mcphail Associates
3.3","Cambridge, MA","Cambridge, MA",1 to 50 employees,1976,Company - Private,Construction,"Construction, Repair & Maintenance",Unknown / Non-Applicable,-1
937,"Scientist, Product Development",-1,Job Description,2.9,"Pharmavite
2.9","Valencia, CA","West Hills, CA",1001 to 5000 employees,1971,Company - Private,Consumer Products Manufacturing,Manufacturing,$1 to $2 billion (USD),"The Nature's Bounty Co., Schiff Nutrition International"
938,Senior Scientist - Regulatory Submissions,$80K-$155K (Glassdoor est.),Job Description,3.1,"Reynolds American
3.1","Winston-Salem, NC","Winston-Salem, NC",5001 to 10000 employees,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
939,Scientist - Biomarker and Flow Cytometry,$43K-$98K (Glassdoor est.),Job Description,2.4,"Crown Bioscience
2.4","San Diego, CA","San Diego, CA",501 to 1000 employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),-1
940,Revenue Analytics Manager,$45K-$78K (Glassdoor est.),Job Description,4.8,"HOVER
4.8","San Francisco, CA","San Francisco, CA",51 to 200 employees,2011,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1
941,Sr. Scientist Method Development,$50K-$110K (Glassdoor est.),Job Description,2.9,"Q2 Solutions
2.9","Marietta, GA","Morrisville, NC",1001 to 5000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
942,"Associate Scientist, LC/MS Biologics",$44K-$96K (Glassdoor est.),Job Description,2.9,"Q2 Solutions
2.9","Ithaca, NY","Morrisville, NC",1001 to 5000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
943,"Research Scientist, Immunology - Cancer Biology",Employer Provided Salary:$100K-$140K,Job Description,-1,Kronos Bio,"Cambridge, MA","San Mateo, CA",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
944,IT - Data Engineer II,$61K-$119K (Glassdoor est.),Job Description,3.4,"Arbella Insurance
3.4","Quincy, MA","Quincy, MA",1001 to 5000 employees,1988,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1
945,Machine Learning Engineer (NLP),$80K-$142K (Glassdoor est.),Job Description,4.1,"CK-12 Foundation
4.1","Palo Alto, CA","Palo Alto, CA",1 to 50 employees,2007,Company - Private,K-12 Education,Education,Unknown / Non-Applicable,-1
946,Senior Data Analyst,$99K-$178K (Glassdoor est.),Job Description,3.9,"Life360
3.9","San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
947,Data Science Project Manager,$37K-$100K (Glassdoor est.),Job Description,3.6,"MassMutual
3.6","Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1
948,Data Engineer,$62K-$113K (Glassdoor est.),Job Description,3.9,"Fivestars
3.9","San Francisco, CA","San Francisco, CA",201 to 500 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Belly, SpotOn"
949,"Principal, Data Science - Advanced Analytics",$86K-$137K (Glassdoor est.),Job Description,3.6,"IQVIA
3.6","Plymouth Meeting, PA","Durham, NC",10000+ employees,2017,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),"PPD, INC Research, PRA Health Sciences"
950,"Sr Scientist, Immuno-Oncology - Oncology",$58K-$111K (Glassdoor est.),Job Description,3.9,"GSK
3.9","Cambridge, MA","Brentford, United Kingdom",10000+ employees,1830,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Pfizer, AstraZeneca, Merck"
951,Senior Data Engineer,$72K-$133K (Glassdoor est.),Job Description,4.4,"Eventbrite
4.4","Nashville, TN","San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$100 to $500 million (USD),"See Tickets, TicketWeb, Vendini"
